company,rating,location,positionName,salary,url,jobType/0,searchInput/country,searchInput/position,externalApplyLink,clean_description
Collins Aerospace,3.6,Wisconsin,AI Platform Engineer (Remote),"$82,000 - $164,000 a year",https://www.indeed.com/viewjob?jk=7d0beabad99c6599,Full-time,US,Data Scientist,https://careers.rtx.com/global/en/job/01771071?rx_campaign=indeed0&rx_ch=jobp4p&rx_group=135032&rx_id=34459231-5219-11f0-a3c9-0f1a539230fc&rx_job=01771071&rx_medium=cpc&rx_r=none&rx_source=Indeed&rx_ts=20250626T080017Z&rx_vp=cpc&codes=INDEED&rx_p=86LCFSROJT&rx_viewer=a1827ecc528f11f09e4a89850ff737efed96566d55314c3da91ff7af8d7f4a8c,date posted country united state america location hwi field office remote location remote city usa position role type remote citizen person immigration status requirement citizenship required citizen authorized access information programcontract security clearance nonenot required want part exciting initiative combine foundational new digital technology artificial intelligence team part digital technology function delivers value machine learning service collaborating senior leader team uncovers hidden insight drive digital transformation deep learning innovation work provides competitive edge solves business problem transforms operation seeking platform engineer develop support application foundational algorithm individual initially join collins transition rtx effective january individual sit collins domestic location remote integrate platform tool enterprise system identity management logging governance collaborate crossfunctional team ensure smooth integration successful solution delivery aligned safe principle teamwork transparency build internal sdks apis microservices support workflow across hybrid environment develop cloudagnostic software run efficiently aws azure onprem kubernetes cluster leverage managed service aws sagemaker azure machine learning azure kubernetes service ak appropriate write clean testable efficient code strong emphasis performance scalability maintainability comprehensive documentation support longterm development knowledge sharing participate code review architecture discussion agile ceremony collaborate across remote team working highly regulated securityconscious environment qualification must bachelor degree year prior relevant experience advanced degree related field minimum year experience proficiency python experience implementing service apis fastapi flask aws lambda azure function experience cicd pipeline infrastructure automation tool github action jenkins terraform etc qualification prefer understanding software development lifecycle including coding standard code review source control build process cicd testing delivery existing new team product understanding aiml tool data platform api management platform additional language nodejs devops methodology aiops strategy championing containerization infrastructure code iac best practice strong problemsolving skill ability navigate ambiguity define technical direction drive endtoend solution demonstrated deep technical curiosity initiative dive complex challenge offer competitive benefit package include medical dental vision insurance three week vacation newly hired employee generous plan includes employer matching fund separate employer retirement contribution including lifetime income strategy option tuition reimbursement program student loan repayment program life insurance disability coverage optional coverage buy pet insurance home auto insurance additional life accident insurance critical illness insurance group legal theft protection birth adoption parental leave benefit ovia health fertility family planning adoption assistance autism benefit employee assistance plan including free counseling session healthy incentive wellness reward program doctor demand virtual doctor visit bright horizon child elder care service teladoc medical expert second opinion program learn apply want part new exciting initiative combine foundational new digital technology digital technology team driving business efficiency better customer experience connecting technology people information process making aircraft electric intelligent integrated building new software platform internet thing big data artificial intelligence blockchain there better place right digital youre agile thinker enjoys utilizing modern technology make big improvement youre perfect fit team join collins aerospace help revolutionize aerospace industry today redefining aerospace please consider following role type definition apply role remote employee working remote role work primarily offsite home employee may expected travel site location needed regardless role type collaboration innovation critical business employee access digital tool work colleague around world access collins site work requires inperson meeting collins path pave together lead limitless possibility bond form customer propel higher apply part team thats redefining aerospace every day salary range role usd usd salary range provided good faith estimate representative experience level rtx considers several factor extending offer including limited role function associated responsibility candidate work experience location educationtraining key skill hired applicant may eligible benefit including limited medical dental vision life insurance shortterm disability longterm disability match flexible spending account flexible work schedule employee assistance program employee scholar program parental leave paid time holiday specific benefit dependent upon specific business unit well whether position covered collectivebargaining agreement hired applicant may eligible annual shortterm andor longterm incentive compensation program depending level position whether covered collectivebargaining agreement payment annual program guaranteed dependent upon variety factor including limited individual performance business unit performance andor company performance role usbased role successful candidate resides territory appropriate pay structure benefit apply rtx anticipates application window closing approximately day date notice posted however factor candidate flow business necessity may require rtx shorten extend application window rtx equal opportunity employer qualified applicant receive consideration employment without regard race color religion sex sexual orientation gender identity national origin age disability veteran status applicable state federal protected class rtx provides affirmative action employment qualified individual disability protected veteran compliance section rehabilitation act vietnam era veteran readjustment assistance act privacy policy term click link read policy term
Steampunk,3.3,"McLean, VA 22102",Data Scientist (Generative AI),"$125,000 - $160,000 a year",https://www.indeed.com/viewjob?jk=a0609ff09e1ff4d3,unknown,US,Data Scientist,https://careers-steampunk.icims.com/jobs/6526/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f,overview looking seasoned data scientist work existing team data scientist engineer use generative technology supporting federal use case looking data scientist technologist excellent communication customer service skill passion data problem solving contribution design train advanced machine learning model especially generative model like gans vaes transformerbased model work closely engineer software developer transition model research development stage production stay updated latest research trend implement cuttingedge solution evaluate performance foundational model gpt llama claude domainspecific task finetune using supervised reinforcement instruction tuning method align output user need business goal design optimize prompt fewshot example system instruction improve llm behavior constrained environment rag pipeline multiagent workflow decision support system identify clean label synthesize highquality datasets model training finetuning retrievalaugmented generation rag design experiment evaluate generative model behavior hallucination rate factuality coherence safety define appropriate benchmark use metric like bleu rouge perplexity human evaluation ability leverage integrate various data management tool scale cloud experience preferred support agile software development lifecycle contribute growth data exploitation practice qualification qualification ability hold position public trust government bachelor degree computer science data sciencestatistics information system engineering business scientific technical discipline year industry experience developing mlai solution passion solving complex problem must handson experience building deploying generative model portfolio relevant project must proficient python strong coding practice scalability reproducibility demonstrated experience building training deploying generative model like generative adversarial network gans variational autoencoders vaes autoregressive model like transformerbased architecture demonstrated experience manipulating structured unstructured data analysis demonstrated experience using framework like tensorflow pytorch kera jax ability implement modify complex neural network architecture skilled using data manipulation analysis library panda numpy scipy scikitlearn experience model training finetuning evaluation using framework like pytorch tensorflow deep knowledge natural language processing technique including tokenization embeddings attention mechanism prompt engineering handson experience large language model gpt llama claude mistral associated library hugging face transformer familiar retrievalaugmented generation rag data labeling synthetic data generation data governance best practice proficiency python tooling jupyter git docker apis able work crossfunctional team deliver capability production environment write modularreusable code experience cloud analytics aws azure google cloud platform gcp tool aws sagemaker aws bedrock azure openai etc experience devsecops applies data science mlops data visualization skill tableau power arcgis similar plus experience elasticsearch aws kendra azure cognitive search similar tool plus steampunk steampunk relies several factor determine salary including limited geographic location contractual requirement education knowledge skill competency experience projected compensation range position estimate displayed represents typical annual salary range position annual salary one aspect steampunks total compensation package employee learn additional steampunk benefit identity statement part application process expected camera interview assessment reserve right take picture verify identity prevent fraud steampunk change agent federal contracting industry bringing new thinking client homeland federal civilian health dod sector humancentered delivery methodology fundamentally changing expectation federal client true shared accountability solving toughest mission challenge employee owned company focus investing employee enable greatest work career rewarding outstanding contribution growth want learn story visit equal opportunity employer qualified applicant receive consideration employment without regard race color religion sex national origin disability status protected veteran status characteristic protected law steampunk participates everify program
Lockheed Martin,4.0,"Orlando, FL 32819","Data Scientist Analyst Stf / Orlando, FL",Not Disclosed,https://www.indeed.com/viewjob?jk=e60cf81bf766b709,Full-time,US,Data Scientist,https://click.appcast.io/t/Pi8bqnVypX9XrwmZ0c90CDzXKUnCgmMf2ZCtpx-EMOc=?Codes=IND&ittk=EDXAGY6OGJ,job date posted jun description lockheed martin global security aerospace company employ approximately people worldwide principally engaged research design development manufacture integration sustainment advanced technology system product service lockheed martin missile fire control mfc one four lockheed martin business area mfc recognized designer developer manufacturer precision engagement aerospace defense system allied military mfc develops manufacture support advanced product military customer include army navy air force marine corp nasa dozen foreign ally mfc also offer wide range product service global civil nuclear power industry military green power initiative successful candidate leverage advanced analytics statistical modeling machine learning drive datadriven decisionmaking across mfc engineering production apply advanced statistical technique machine learning algorithm data visualization method identify trend pattern correlation data engineering development production source develop implement advocate aipowered solution key responsibility include data wrangling curation extracting transforming loading data various source including legacy database sap product enterprise system etl extract transform load process development optimization designing implementing efficient data pipeline support data analytics machine learning workflow data quality integrity ensuring data accuracy completeness consistency developing process monitor maintain data quality time data governance working stakeholder develop implement data governance policy procedure including data security compliance privacy regulation data storytelling using data visualization communication technique translate complex data insight recommendation nontechnical stakeholder leadership join want part company culture encourages employee build career leverage knowledge using cutting edge technology achieve challenging goal provide foundation resource help stay motivated inspired productive driven dedicated enjoy love want join journey build better tomorrow position onsite orlando florida offer flexible work schedule comprehensive benefit investing future security learn lockheed martin comprehensive benefit package information opportunity position orlando discover orlando florida location basic qualification bachelor degree data science statistic computer science related quantitative field experience data analysis including data wrangling curation engineering strong understanding database concept including data modeling database design query optimization experience sql including complex query writing optimization experience working legacy database including data migration integration optimization familiarity product sap including erp crm data analytics tool strong programming skill python ability obtain secret security clearance therefore must citizen desired skill year experience working leading data science based project master degree data science statistic computer science related quantitative field proficiency containerization technology docker kubernetes strong understanding statistical modeling machine learning technique experience deployment statistical algorithm system high performance compute infrastructure security clearance statement position requires government security clearance must citizen consideration clearance level secret important information know expression interest applying job expressing interest position could considered career opportunity similar skill requirement identified match match identified may contacted future opening ability work remotely parttime remote telework employee selected position work part work schedule remotely part work schedule designated lockheed martin facility specific weekly schedule discussed hiring process work schedule lockheed martin support variety alternate work schedule provide additional flexibility employee schedule range standard hour five day work week others may condensed condensed schedule provide employee additional time away office addition paid time benefit schedule position hour day day per week lockheed martin equal opportunity employer qualified candidate considered without regard legally protected characteristic application window close day applicant encouraged apply within day requisition posting date order receive optimal consideration join lockheed martin mission customer tackle hardest mission demand extraordinary amount courage resilience precision theyre dangerous critical sometimes even provide opportunity change world save life mission care leading technology innovation company lockheed martin vast team work partner around world bring proven performance customer toughest challenge lockheed martin employee based many state throughout internationally business location many nation territory experience level experienced professional business unit missile fire control relocation available possible career area software engineering type fulltime shift first
Indegene,3.5,New Jersey,Lead - Advanced Analytics,Not Disclosed,https://www.indeed.com/viewjob?jk=0d2bfdf35a4682f1,unknown,US,Data Scientist,https://careers.indegene.com/job/Lead-Advanced-Analytics-NJ/42062744/?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,date jun location job description technologyled healthcare solution provider driven purpose enable healthcare organization futureready offer accelerated global growth opportunity talent thats bold industrious nimble indegene gain unique career experience celebrates entrepreneurship guided passion innovation collaboration empathy explore exciting opportunity convergence healthcare technology check looking jumpstart career understand important first year career create foundation entire professional journey indegene promise differentiated career experience work exciting intersection healthcare technology also mentored brilliant mind industry offering global fasttrack career grow along indegenes highspeed growth purposedriven enable healthcare organization future ready customer obsession driving force ensure customer achieve truly want bold action nimble decisionmaking industrious way work role lead advanced analytics description seeking highly skilled advanced data analytics professional expertise various modelling algorithm data preprocessing join dynamic team ideal candidate strong background data science machine learning exposure pharma commercial analytics work closely crossfunctional team develop deploy maintain machine learning model drive business insight innovation key responsibility looking experienced advanced data analytics professional handle commercial analytics project proficiency additionally domain expertise omnichannel nba sale force analytics payer analytics patient digital analytics brand performance analytics value add model development design develop implement machine learning model eda feature engineering using variety algorithm regression classification clustering neural network ensemble method mlops establish maintain mlops practice ensure seamless deployment monitoring maintenance model production environment model evaluation evaluate model performance using appropriate metric technique iterate model improve accuracy efficiency collaboration work closely data engineer business stakeholder integrate model application workflow documentation document model development process assumption result ensure reproducibility transparency continuous learning stay updated latest advancement aiml including llm mlops continuously improve skill knowledge must education bachelor master degree computer science data science statistic related field experience year experience data science machine learning focus model development preprocessing domain expertise experience pharma commercial analytics least year preferably sale force targeting patient journey prediction technical skill proficiency programming language pyspark python experience librariesframeworks tensorflow pytorch scikitlearn mlops toolsoptional experience mlops tool platform mlflow kubeflow docker kubernetes model deployment monitoring data handling strong skill sql experience snowflake dataiku databricks plus problemsolving excellent analytical problemsolving skill ability translate business problem data science solution communication strong communication presentation skill ability explain complex concept nontechnical stakeholder equal opportunity indegene proud equal employment employer committed culture inclusion diversity discriminate basis race religion sex colour age national origin pregnancy sexual orientation physical ability characteristic employment decision hiring separation based business requirement candidate merit qualification equal opportunity employer qualified applicant receive consideration employment without regard race colour religion sex national origin gender identity sexual orientation disability status protected veteran status characteristic
Orbis,3.2,"New York, NY 10018",Senior/Lead Machine Learning Engineer,"$1,000 a day",https://www.indeed.com/viewjob?jk=361087bfe2032ad5,Contract,US,Data Scientist,https://weareorbis.com/?post_type=job_listing&p=30114,new york city hybrid contract per day ref new job seniorlead machine learning engineer month contract location new york city hybrid rate per day orbis partnered fastgrowing ecommerce client scaling machine learning function plan expand team four engineer end key opportunity join productled business machine learning play central role shaping user experience driving personalisation supporting company broader growth vision role role sits within highimpact engineering group focused three core pillar personalisation delivering tailored datadriven user experience generative including llm agentic development trust safety fraud prevention impersonation detection securing user environment successful candidate involved endtoend lifecycle machine learning system architecture model development deployment realtime performance optimisation key requirement year experience machine learning data platform engineering proven experience deploying productiongrade system realtime inference recommendation model training pipeline proficiency python java cloud experience one platform aws gcp azure familiarity infrastructure orchestration tool kubernetes terraform airflow databricks feast tecton ray kubeflow bonus experience llm rag pipeline clip embeddings realtimestreaming system kafka flink spark whats offer month contract high potential extension permanent conversion competitive daily rate hybrid working model new york city opportunity make direct impact business across multiple highpriority domain please note role offer sponsorship open third party apply youre interested part cuttingedge team within productfirst ecommerce environment consultant tom jeffs orbis group committed creating inclusive diverse workplace research indicates candidate especially underrepresented background often hesitate apply job dont meet every qualification youre excited role dont perfectly align every requirement encourage apply unique skill experience may perfect fit job opportunity arise
NVIDIA,4.2,"Santa Clara, CA 95050",Senior AI Workflow Engineer,"$184,000 - $356,500 a year",https://www.indeed.com/viewjob?jk=e0b5c8d21888e768,Full-time,US,Data Scientist,https://click.appcast.io/t/Gd_9WodhnRCXfXvo7zAe2jb4um9YEYPO-G8MLpCh_ao=?source=jobboardindeed&ittk=F88WYVNNJU,today nvidia tapping unlimited potential define next era computing era gpu act brain computer robot selfdriving car understand world whats never done take vision innovation world best talent nvidian youll immersed diverse encouraging environment everyone inspired best work come join team see make lasting impact world nvidia hiring senior software engineer infrastructure planning process team ipp accelerate adoption across various engineering workflow within company ipp global organization within nvidia group work various team within nvidia graphic processor mobile processor deep learning artificial intelligence driverless car cater infrastructure software development workflow need senior engineer workflow design implement tool software solution leverage large language model agentic automate end end software engineering workflow enhance productivity engineer across nvidia youll design implement aidriven optimization within software development workflow enhance developer productivity accelerate feedback loop improve release reliability experience designing developing deploying agent automate software development workflow process continuously measure report impact intervention demonstrating improvement key metric like cycle time change failure rate mean time recovery mttr create deploy predictive model identify highrisk commits forecast potential build failure flag change high probability failure conduct research emerging technology recommend best practice improvement need see preferred equivalent experience eec year work experience well versed large language mode llm machine learning agentic technique handson experience using large language model llm implementing software engineering workflow handson experience pythonjavago extensive python scripting experience experience working sqlnosql database system mysql mongodb elasticsearch experience full stack development proficient frontend react angular vuejs html cs javascript backend nodejs pythondjangoflask ruby rail javaspring net development database management sqlnosql deploymenthosting aws azure gcp experience tool cicd setup jenkins gitlab packer terraform artifactory ansible chef similar tool good understanding distributed system understanding microservice architecture rest apis good knowledge build tool like make maven ant ability effectively work across organizational boundary enhance alignment productivity team way stand crowd proactively track tool technology trend build insight collaborate development team early evangelize driven workflow nvidia adoption forwardthinking versatile people world working due unprecedented growth bestinclass engineering team rapidly growing building team truly change world passionate new technology care software quality want part future transportation would love join expertise leveraging large language model llm agentic automate complex workflow knowledge retrievalaugmented generationrag finetuning llm enterprise data prior development large software project using service oriented architecture operating real time constraint forwardthinking versatile people world working due unprecedented growth bestinclass engineering team rapidly growing building team truly change world passionate new technology care software quality want part future transportation would love join base salary range usd usd base salary determined based location experience pay employee similar position also eligible equity benefit nvidia accepts application ongoing basis nvidia committed fostering diverse work environment proud equal opportunity employer highly value diversity current future employee discriminate including hiring promotion practice basis race religion color national origin gender gender expression sexual orientation age marital status veteran status disability status characteristic protected law
UCSF Health,4.0,"San Francisco, CA",Sr. Data Analyst,"$143,900 - $215,800 a year",https://www.indeed.com/viewjob?jk=076216eac4046205,Full-time,US,Data Scientist,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=6495&siteid=5861&PageType=JobDetails&jobid=3664101&codes=IND,significant experience applies advanced data information management concept campus medical center objective resolve highly complex issue analysis situation information data require indepth evaluation variable factor selects method technique obtain desired result specifically senior data analyst work eia enterprise information analytics data governance staff business analyst end user data owner collaborate enterprise technical team stakeholder understand data need design develop deliver efficient standardsbased highquality analytics solution translate complex data actionable insight recommendation influence strategy decision making develop maintain dashboard report monitor key business metric track progress strategic objective inform senior leadership oversee design implementation analytic solution including data acquisition process design use technology feature function business rule processing data aggregation summarization technique lead tuning performance improvement tableau solution participates data governance process defined department organization collaborate data modeler data integration architect developer establish endtoend data information delivery architecture analyze design develop implement etl workflow using tool sql datastage ssis etc leverage expertise epic system extract manipulate analyze data drive process improvement strategy development serve escalation resolve complex technical issue collaboration staff provide update leadership business partner champion educate business staffing use technology strategic tactical decision making use data support recommendation decision perform deep analysis complex data set identify trend develop visualization present data clear compelling manner ensure data integrity accuracy troubleshoot data anomaly work continuously improve data quality provide technical expertise data storage structure data mining data cleansing lead participate dissemination best practice process including outcome various internal external venue research stay abreast latest trend technology work vendor carry product evaluation proofofconcepts enterprise information analytics health operation team operates stay abreast current emerging data management technology trend advice used support business technology objective senior data analyst analyze create information asset business domain especially supported prioritized transplant domain strategic plan resource focus includes limited ucsf transplant domain successful candidate leadership skill customer focused extensive experience developing enterprise data solution final salary offer component subject additional approval based policy placement within salary range dependent number factor including work experience internal equity within position classification ucsf position represented labor union placement within salary range guided rule collective bargaining agreement salary range position annual rate learn benefit working ucsf including total compensation please visit department description preeminent health science campus health system university california san francisco ucsf forefront creating new knowledge exploding volume clinical discovery education data creates manages ucsf belief ability leverage data asset important differentiator academic healthcare center critical drive toward precision medicine execution key ucsf strategy clinical enterprise strategy include supporting better population health improving quality care population health university california health system million patient enterprise analytics information health operation department function liaison customer partner organization technical resource provide optimal analytic solution solve problem answer question meet need customer key partner include clinical financial administration campus domain team involved strategic operational activity inform drive change behavior ultimately outcome use data information team operates crossfunctional manner crossing domain implement integrated work needed university california san francisco ucsf department information technology seeking qualified individual lead design analysis presentation dissemination data information knowledge critical performance ucsf enterprisewide enterprise information analytics vision advancing ucsfs ability care heal teach discover providing ubiquitous access relevant highquality information analytics working clinical research education business customer organize integrate govern ucsfs information asset develop targeted data set analysis provide important insight required qualification bachelor degree related area andor equivalent experiencetraining year experience designing developing testing implementing secure scalable highperformance analytic solution least year experience tableau developer tool year experience advanced skill associated software specification design modification implementation deployment largescale scope year experience dimensional data modeling relational database year experience sql relational database ability communicate high proficiency verbally writing level management staff technical language business term strong leadership interpersonal influencing collaboration negotiation skill proficient developing technical specification presentation training material user documentation technical documentation demonstrated success overseeing software development lifecycle enterprisewide project ability assess solve complex technical problem demonstrated ability understand domain need system support need demonstrated ability develop conversion system implementation plan selfmotivated work independently part team able learn effectively meet deadline strong critical thinking problemsolving skill manage complex information assess problem develop effective solution detailoriented ability manage time organize competing priority preferred qualification master degree related area andor equivalent experiencetraining epic clarity certification epic phoenix module certification year experience analytics healthcare ability produce highquality report documentation experience analytic tool python etc experience analysis design development implementation etl workflow using tool sql datastage ssis etc experience developing technical staff excellent project leadership management skill analytics education research proficient agilescrum development methodology experience creating maintaining data visualization standard experience predictiveprescriptive analytics precision medicine ucsf ucsf health mission innovative patient care advanced technology pioneering research redefining whats possible patient serve promise share professional make team consistently ranked among top hospital nationwide news world report ucsf health committed providing rewarding work experience delivering best care available anywhere environment allows continuous learning opportunity professional growth ucsf health offer ideal atmosphere best use skill talent pride value ucsf diverse community made people many skill talent seek candidate whose work experience community service prepared contribute commitment professionalism respect integrity diversity excellence also known pride value addition pride value ucsf committed equity deliver care well workforce committed building broadly diverse community nurturing culture welcoming supportive engaging diverse idea provision culturally competent education discovery patient care additional information ucsf available diversityucsfedu join find rewarding career contributing improving healthcare worldwide equal employment opportunity university california equal opportunity employer qualified applicant receive consideration employment without regard race color religion sex sexual orientation gender identity national origin disability age protected veteran status protected status state federal law organization health job code payroll title data sys anl job category clinical system professional bargaining unit policycovered bargaining unit employee class career percentage location san francisco campus mission center building work style fully remote shift day shift length hour additional shift detail monday friday
Jazz Pharmaceuticals,3.5,"Philadelphia, PA 19103","Principal, AI Data Scientist (Remote)",Not Disclosed,https://www.indeed.com/viewjob?jk=6b5f605c003855e8,unknown,US,Data Scientist,https://careers.jazzpharma.com/job/968/principal-ai-data-scientist-remote-research-development-uk-london-city-of-london/?utm_source=indeed-jobs&feed_location_id=16&mode=job&iis=Job+Board&iisn=indeed,current jazz employee please apply via internal career site jazz pharmaceutical global biopharma company whose purpose innovate transform life patient family dedicated developing lifechanging medicine people serious disease often limited therapeutic option diverse portfolio marketed medicine including leading therapy sleep disorder epilepsy growing portfolio cancer treatment patientfocused sciencedriven approach power pioneering research development advancement across robust pipeline innovative therapeutic oncology neuroscience jazz headquartered dublin ireland research development laboratory manufacturing facility employee multiple country committed serving patient worldwide please visit information brief description principal data scientist responsible supporting implementation innovative complex transformative aimlgenai solution across area clinical trial execution digital healthcare across jazz research development essential function support development implementation aimlgenai solution optimize clinical trial operation including area patient recruitment patient retention realtime data monitoring automated data collection system build support development implementation genai application automated clinical trial documentation generation including area medical report clinical study report protocol patient narrative support development implementation digital healthcare application medical scientific tool rwe new way generating real data patient engagement support design develop predictive model generative solution using diverse healthcare data source including clinical trial data electronic health record wearable device patientreported outcome heor data phase study collaborate crossfunctional team including clinical operation clinical development data science global medical scientific affair rwe patient working group tackle business challenge bring value aidriven solution ensuring compliance regulatory requirement data privacy standard facilitate knowledge sharing exchange within jazz data science across jazz research development required knowledge skill ability strong programming skill python similar language experience modern framework pytorch tensorflow demonstrated experience generative technology including llm architecture framework knowledgeexperience digital healthcare tool design development experience natural language processing generative medical text analysis generation interpretation demonstrated ability build relationship stakeholder subject matter expert familiarity high compute cloudbased platform service particular aws familiarity code version control mlops deployment approach ability understand healthcare challenge adapt accordingly solution crossfunctions high adaptability meet cross organization goal requiredpreferred education advanced degree phd data science computer science biostatistics related field year related professional experience year experience applying aiml technique healthcare clinical research data experience healthcareai implementation healthcare field plus knowledge digital healthcare tool design development description physical demand occasional mobility within office environment routinely sitting extended period time constantly operating computer printer telephone similar office machinery jazz pharmaceutical equal opportunityaffirmative action employer qualified applicant receive consideration employment without regard race color religion sex national origin disability status protected veteran status characteristic protected law successful candidate also eligible participate various benefit offering including limited medical dental vision insurance retirement saving plan flexible paid vacation information benefit offering please click
Sage,3.3,"Atlanta, GA",Principal Machine Learning Engineer,Not Disclosed,https://www.indeed.com/viewjob?jk=001aacbfc0be2028,unknown,US,Data Scientist,https://sagehr.my.salesforce-sites.com/careers/fRecruit__ApplyJob?vacancyNo=VN32440&source={IndeedSponsored},job description sage nimble team within sage building innovative service solution using generative machine learning turbocharge user productivity sage team build capability help business make better decision datapowered automation insight currently hiring principal machine learning engineer help build machine learning solution provide insight empower business help succeed part crossfunctional team including data scientist engineer help steer direction entire company artificial intelligence machine learning initiative hybrid role three day per week atlanta lawrenceville office share excitement applying artificial intelligence machine learning value culture continuous improvement learning excited working cutting edge technology apply today keen interest artificial intelligence machine learning extensive practical experience expert knowledge experience relevant programming language incl python framework incl openai huggingface spark azure aws extensive experience cloud environment aws azure gcp ability write highly performant code working big data bachelor degree preferably field strongly us data science machine learning technique computer scienceengineering statistic applied math fluency data fundamental sql data manipulation using procedural language statistic experimentation predictive modeling strong quantitative analytical skill significant experience data science tool ability communicate complex idea machine learning nontechnical stakeholder may experience one ops framework mlflow kubeflow azure sagemaker strong theoretical foundation linear algebra probability theory optimization experience training finance operation domain deep experience approach deep learning generative large language model logistic regression gradient descent experience wrangling complex diverse data solve realworld problem key responsibility design implement product feature service use augment simplify customer workflow develop internal platform support machine learning system efficiency monitor optimize quality performance model service tool collaborate platform team extend capability machine learning platform design write robust productionquality code support machine learning system build operate pipeline accessing enriching data machine learning train tune ship model mentor engineer software engineer data scientist best practice work product manager data scientist translate productbusiness problem tractable machine learning solution libj function product country united state office location atlanta work place type hybrid advert working sage mean youre supporting million small medium sized business globally technology work faster smarter leverage future meaning business owner spend less time routine task like entering invoice generating report time pursuing ambition colleague best best achieve extraordinary outcome need extraordinary team mean infusing sage people knock barrier continuously innovate want experience potential learn working sage sagecomenuscompanycareersworkingatsage watch video culture youtubecomwatchvhvszipnc celebrate individuality welcome join embrace background identity belief way working need support applying reach careerssagecom learn dei sage sagecomenuscompanycareersdiversityequityandinclusion
The Church of Jesus Christ of Latter-day Saints,4.7,"Salt Lake City, UT 84103",Data Scientist Sr - Missionary Dept.,Not Disclosed,https://www.indeed.com/viewjob?jk=85a4ec892de7773d,Full-time,US,Data Scientist,https://epej.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ChurchEmployment/job/369240,identification assessment critical business data element provide foundational algorithm equation component data analysis reporting data scientist work structured unstructured data online offline data multiple source provide strategic data model using machine learning algorithm deepen insight address business problem person highly analytical ability communicate interpret visualize outcome senior business leader maybe assigned team lead data scientist data analyst understand data defining data coming captured received organize data address usability data modeling structuring aggregation statistical validity configuring data accessing channeling data needed predictivestatistical modeling machine learning algorithm forecasting reporting using business requirement tell story developing dashboard report actionable measurable security user acceptance audience access viewing including data received communication instruction data use outcomesinsights data enables business leader make informed decision education bsba degree data science mathematics statistic computer science related field work experience minimum year performing data scientist related role demonstrated skill ability expertadvanced knowledge sql python familiarity scala java asset experience using business intelligence tool tableau data framework understanding machinelearning operation research work minimal oversight meet established deadline delivers defined project little oversight problem solving debuggingtroubleshooting designing implementation solution complex technical issue thrives team environment individual contributor inherent curiosity applying scientific methodology learning discovery effective data visualization teaching certification license requires data analytics data science andor aimachine learning certification church employee find joy satisfaction using unique talent ability lord work professional develops app sends gospel message worldwide facility manager maintains building giving church member place worship teach learn receive sacred ordinancesour employee seek innovative way share gospel jesus christ world literally working kingdom member church worthy temple recommend qualify employment apart church equal opportunity employer discriminate employment decision basis would violate local law qualified applicant considered employment without regard race national origin color gender pregnancy marital status age disability genetic information veteran status legally protected category apply church church make reasonable accommodation qualified individual known disability
